"second","TerrenceJones","RashadVaughn","MalcolmBrogdon","SpencerHawes","TonySnell","GiannisAntetokounmpo","KhrisMiddleton","MirzaTeletovic","JasonTerry","MatthewDellavedova","GregMonroe","ThonMaker","JohnHenson","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
2486,0,11,49,2,24,53,9,29,38,30,37,6,15,0,15,34,3,0
2487,0,11,49,2,25,53,9,28,38,30,37,6,15,0,15,34,3,0
2488,0,11,50,2,25,53,9,28,37,30,37,6,15,0,15,34,3,0
2489,0,11,50,2,25,53,9,28,37,30,37,6,15,0,15,34,3,0
2490,0,11,50,2,25,53,9,28,37,29,36,6,16,0,15,35,3,0
2491,0,11,50,2,25,55,8,27,37,29,36,6,16,0,15,35,3,0
2492,0,11,50,2,25,55,8,27,37,29,36,6,16,0,15,35,3,0
2493,0,11,50,2,25,55,8,27,37,29,36,6,16,0,15,35,3,0
2494,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2495,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2496,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2497,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2498,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2499,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2500,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2501,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2502,0,11,50,2,26,54,8,27,37,29,36,6,16,0,15,35,3,0
2503,0,11,50,2,26,54,8,27,37,29,35,7,16,0,15,35,3,0
2504,0,11,50,2,26,54,9,27,37,29,34,7,16,0,15,35,3,0
2505,0,11,50,2,26,55,9,26,37,29,34,7,16,0,15,35,3,0
2506,0,11,49,2,26,55,9,26,37,30,34,7,16,0,15,35,3,0
2507,0,12,49,2,26,55,9,25,37,30,34,7,16,0,15,35,3,0
2508,0,12,49,2,26,55,9,25,37,30,34,7,16,0,15,35,3,0
2509,0,12,49,2,27,54,9,25,37,30,34,7,16,0,15,35,3,0
